name,landmark,lat,long,user_created,user_saved
FLORIDA STATE FAIRGROUNDS,amusement,27.98988,-82.36521,,
BELLE GLADE CLUB golf_course,golf_course,26.70263,-80.71167,,
,state_local_park,25.99174,-80.36412,,
,golf_course,25.66823,-80.83731,,
FRED GREEN BALL PARK,state_local_park,29.6495,-81.63218,,
,golf_course,27.14861,-82.44142,,
,state_local_park,29.94503,-82.0671,,
WINN DIXIE SQUARE,shopping_center,29.94389,-82.11394,,
OCALA NATIONAL FOREST,national_park,29.25005,-81.83359,,
FORT DE SOTO PARK,state_local_park,27.6186,-82.7229,,
,state_local_park,30.01199,-81.69903,,
,state_local_park,27.45834,-81.53054,,
,golf_course,30.23964,-81.68898,,
,state_local_park,29.99866,-84.49633,,
BISCAYNE NATIONAL PARK,national_park,25.50149,-80.21595,,
JAMES ORMOND PARK,state_local_park,29.38478,-81.13248,,
CHATTAHOOCHEE STATE PARK,state_local_park,31.00041,-85.03199,,
,state_local_park,26.99804,-80.14338,,
MULHOLLAND PARK,state_local_park,29.6499,-81.62835,,
CORBET STATE WILDLIFE AREA,state_local_park,26.84267,-80.45126,,
BATTERY PARK,state_local_park,29.72375,-84.98179,,
GULF ISLANDS NATIONAL SEASHORE,national_park,30.37711,-86.88577,,
BENT TREE GOLF CLUB,golf_course,27.2913,-82.41689,,
,golf_course,26.62793,-81.97096,,
PAHOKEE STATE PARK,state_local_park,26.82408,-80.66836,,
,state_local_park,30.58012,-84.5836,,
WILDLIFE MANAGEMENT AREA RSV,nationa_forest_fed_land,29.83989,-82.02022,,
,golf_course,26.58696,-80.17016,,
HENDERSON STATE PARK,state_local_park,30.3851,-86.44336,,
HOLLYWOOD LAKES COUNTRY CLUB,golf_course,26.00088,-80.35097,,
SOUTHRIDGE golf_course,golf_course,29.01803,-81.28652,,
OLENO ST PK,state_local_park,29.91882,-82.58444,,
DOGWOOD PARK,state_local_park,30.79473,-87.41428,,
SUGDEN REGIONAL PARK,state_local_park,26.11337,-81.76024,,
,state_local_park,28.96222,-81.38222,,
MUNICIPAL golf_course,golf_course,30.37243,-81.67851,,
CANAVERAL NATIONAL SEASHORE,national_park,28.85363,-80.7994,,
BROWNS FARM WILDLIFE AREA,state_local_park,26.39975,-80.52234,,
NORTHEAST PARK,state_local_park,27.83421,-82.6229,,
PINECREST PARK,state_local_park,25.65423,-80.32735,,
CORAL PINE PARK,state_local_park,25.67489,-80.30791,,
BICENTENIAL PARK,state_local_park,26.77512,-80.05251,,
HANK BRYAN PARK,state_local_park,29.64404,-81.64457,,
CENTURY VILLAGE golf_course,golf_course,26.71174,-80.12143,,
KILLEARN GOLF AND COUNTRY CLUB,golf_course,30.52146,-84.2134,,
ST LEO golf_course,golf_course,28.33339,-82.25445,,
,golf_course,27.91709,-82.78795,,
ROTARY PARK,state_local_park,29.64608,-81.63757,,
CITY REC PARK,state_local_park,29.9483,-82.10163,,
OLENO ST PK,state_local_park,29.91108,-82.57095,,
,state_local_park,30.73957,-84.92473,,
FAVOR DYKES STATE PARK,state_local_park,29.6742,-81.2654,,
HIGH RIDGE COUNTRY CLUB,golf_course,26.56549,-80.07957,,
VETERANS MEMORIAL PARK,state_local_park,28.85846,-81.91741,,
FT MATANZAS NATIONAL MONUMENT,national_park,29.7121,-81.23575,,
STEPHEN FOSTER ST MEM FOLK CEN,state_local_park,30.32852,-82.76476,,
LAKES golf_course,golf_course,26.6079,-80.16059,,
SARASOTA GOLF CLUB,golf_course,27.31565,-82.42322,,
DELRAY DUNES GOLF CLUB,golf_course,26.50308,-80.11952,,
GOLD HEAD BRANCH STATE PARK,state_local_park,29.83461,-81.95137,,
RAVINE GARDENS STATE PARK,state_local_park,29.63442,-81.64624,,
JDM NATIONAL GOLF CLUB,golf_course,26.82743,-80.12144,,
NORTH PARK,state_local_park,29.44146,-81.51635,,
TEQUESTA TRACE PARK,state_local_park,26.10719,-80.39623,,
WELLS REC PARK,state_local_park,26.78153,-80.0651,,
MARSH MEMORIAL PARK,state_local_park,28.88288,-81.70646,,
,state_local_park,27.99706,-81.72036,,
QUAIL RIDGE golf_course,golf_course,26.51055,-80.10631,,
,state_local_park,29.12081,-82.14112,,
TOM BROWN PARK,state_local_park,30.44556,-84.21441,,
ROADSIDE PARK,state_local_park,30.82202,-87.43652,,
MANATEE SPRINGS ST PK,state_local_park,29.49992,-82.97006,,
JACKSONVILLE BEACH GOLF CLUB,golf_course,30.27812,-81.40219,,
SANTA FE PARK,state_local_park,29.71096,-82.06356,,
CARNEY ISLAND CONSERVATION & R,state_local_park,29.01244,-81.96345,,
WELLINGTON GOLF CLUB,golf_course,26.65047,-80.23045,,
EASTPOINTE COUNTRY CLUB,golf_course,26.87406,-80.1378,,
,state_local_park,28.61433,-82.05229,,
MILITARY TRAIL GOLF CLUB,golf_course,26.5485,-80.11886,,
,state_local_park,29.47567,-81.12783,,
CHASSA HOWITZKA NAT WLD RFG,national_park,28.73253,-82.64436,,
GREEN PINE PK,state_local_park,26.91404,-82.2493,,
BIG CYPRESS NATIONAL PRESERVE,national_park,26.03173,-81.1086,,
COUNTRY ISLES PARK,state_local_park,26.10232,-80.3713,,
HIGHLANDER PARK,state_local_park,28.03717,-82.77591,,
SUWANNEE RIVER STATE PARK,state_local_park,30.39115,-83.16198,,
MARCLAY GARDENS STATE PARK,state_local_park,30.51992,-84.25425,,
CITY PARK,state_local_park,30.66894,-81.45513,,
BOCA RIO GOLF CLUB,golf_course,26.34557,-80.17702,,
KENNEDY SPACE CENTER RESERVE,nationa_forest_fed_land,28.60125,-80.67974,,
MANDARIN golf_course,golf_course,26.36101,-80.16306,,
,state_local_park,29.01307,-81.29164,,
JOHN PENNEKAMP CORAL REEF STAT,state_local_park,25.34147,-80.24553,,
CAPITOL CITY COUNTRY CLUB,golf_course,30.42548,-84.27232,,
,state_local_park,30.46714,-83.60335,,
JECKEL-HYDE golf_course,golf_course,27.92827,-81.98882,,
INTERBAY LITTLE LEAGUE COMPLEX,amusement,27.8661,-82.49594,,
SOUTH WEST PARK,state_local_park,26.59753,-80.0617,,
CITY PARK,state_local_park,27.52286,-82.73411,,
FOREST HILL PARK,state_local_park,26.50427,-80.0761,,
EVERGLADES NATIONALPARK,campground,25.38939,-80.62364,,
TOMAKA STATE PARK,state_local_park,29.34388,-81.08369,,
GUERRANT PARK,state_local_park,28.91745,-81.66455,,
,state_local_park,30.38185,-83.1611,,
ST JAMES PARK,state_local_park,30.0995,-85.20954,,
BRENTWOOD MUNICIPAL GC,golf_course,30.36869,-81.67497,,
,state_local_park,30.28475,-84.1524,,
BEST WINTERS PARK,state_local_park,26.87348,-80.06495,,
ST GEORGE ISLAND STATE PARK,state_local_park,29.75992,-84.70133,,
JACKSONVILLE UNIV COUNTRY CLUB,golf_course,30.37574,-81.61143,,
GIDDENS PARK,state_local_park,27.99495,-82.44726,,
CHEROKEE PARK,state_local_park,29.05709,-82.05609,,
INDIAN SPRING golf_course,golf_course,26.50681,-80.13798,,
INDIGO INN golf_course,golf_course,29.19329,-81.08769,,
LOWERY PARK,state_local_park,28.01426,-82.46825,,
HILLSBOROUGH RIVER STATE PARK,state_local_park,28.11746,-82.26226,,
BEACH DRIVE,Beach,30.16407017,-85.68754375,,
BECKRICH RD,Beach,30.18294383,-85.81983858,,
BID-A-WEE BEACH,Beach,30.20039974,-85.85063139,,
CARL GRAY PARK,Beach,30.18776193,-85.72827131,,
DELWOOD,Beach,30.13635634,-85.72030454,,
DUPONT BRIDGE,Beach,30.10675685,-85.60230917,,
LAGUNA BEACH,Beach,30.23852232,-85.92478602,,
PCB CITY PIER,Beach,30.21489556,-85.87796553,,
RICK SELTZER PARK,Beach,30.15823464,-85.77893217,,
COCOA BEACH - MINUTEMAN CSWY,Beach,28.29585449,-80.60654898,,
COCOA BEACH PIER,Beach,28.36794394,-80.60206923,,
INDIALANTIC BOARDWALK,Beach,28.09280929,-80.5657605,,
JETTY PARK,Beach,28.40710587,-80.58913629,,
PARADISE BEACH PARK,Beach,28.11286098,-80.57236477,,
PELICAN BEACH PARK,Beach,28.16787615,-80.58715391,,
SEBASTIAN INLET NORTH,Beach,27.86260324,-80.44735494,,
SPESSARD HOLLAND NORTH,Beach,28.05484518,-80.5502965,,
BAHIA MAR,Beach,26.11285645,-80.10441428,,
BIRCH STATE PARK,Beach,26.13793977,-80.10266428,,
COMMERCIAL BLVD PIER,Beach,26.18938419,-80.09463649,,
CUSTER ST BEACH,Beach,26.04423423,-80.11298093,,
DANIA BEACH,Beach,26.05703701,-80.11154204,,
DEERFIELD BEACH PIER,Beach,26.31699528,-80.07483094,,
HALLANDALE BEACH BLVD,Beach,25.98596758,-80.11696982,,
HARRISON STREET,Beach,26.01102313,-80.1152476,,
JOHN LLOYD PARK,Beach,26.08405089,-80.10938648,,
MINNESOTA STREET,Beach,26.02024535,-80.11438648,,
NE 16TH ST POMPANO,Beach,26.25210641,-80.08402538,,
POMPANO BEACH PIER,Beach,26.23482863,-80.08774761,,
SEBASTIAN STREET,Beach,26.12415921,-80.10166427,,
BOCA GRANDE,Beach,26.7928507,-82.27394615,,
ENGLEWOOD MID BEACH,Beach,26.92413137,-82.36146252,,
ENGLEWOOD NORTH,Beach,26.94422016,-82.37326072,,
PALM ISLAND NORTH,Beach,26.88077788,-82.32959063,,
PALM ISLAND SOUTH,Beach,26.86000388,-82.31396434,,
PORT CHARLOTTE BEACH EAST,Beach,26.96164815,-82.1105004,,
PORT CHARLOTTE BEACH WEST,Beach,26.96184485,-82.1128353,,
CLAM PASS,Beach,26.20739414,-81.81580468,,
DELNOR-WIGGINS PASS STATE PARK,Beach,26.27822862,-81.82951369,,
DOCTORS PASS,Beach,26.17801522,-81.8146663,,
LOWDERMILK PARK BEACH,Beach,26.1623463,-81.81079605,,
NAPLES PIER,Beach,26.13162778,-81.8062928,,
PARKSHORE BEACH,Beach,26.18919387,-81.81533468,,
RESIDENCE BEACH,Beach,25.93632775,-81.73389451,,
SOUTH MARCO BEACH,Beach,25.91164541,-81.72804713,,
TIGERTAIL BEACH,Beach,25.94883822,-81.7437105,,
VANDERBILT BEACH,Beach,26.25384539,-81.82335628,,
53RD ST - MIAMI BEACH,Beach,25.83100113,-80.11923674,,
CAPE FLORIDA PARK,Beach,25.66876861,-80.154329,,
COLLINS PARK - 21ST ST,Beach,25.79592106,-80.12543428,,
CRANDON PARK - KEY BISCAYNE,Beach,25.70365776,-80.15323522,,
CRANDON PARK - SOUTH,Beach,25.70307143,-80.1536696,,
DOG BEACH,Beach,25.74572172,-80.17770307,,
GOLDEN BEACH,Beach,25.96612974,-80.11826288,,
HAULOVER BEACH,Beach,25.90282631,-80.12177348,,
HAULOVER BEACH - NORTH,Beach,25.91870938,-80.1211506,,
KEY BISCAYNE BEACH,Beach,25.68935851,-80.15655542,,
NORTH SHORE OCEAN TERRACE,Beach,25.85857999,-80.11875864,,
OLETA STATE PARK,Beach,25.90791315,-80.13269767,,
SUNNY ISLES BEACH - SAMSON PARK,Beach,25.93742737,-80.1196976,,
SURFSIDE BEACH - 93RD ST,Beach,25.88180511,-80.12006748,,
VIRGINIA BEACH,Beach,25.74409337,-80.14366312,,
15TH STREET  ACCESS,Beach,30.34008489,-81.39557494,,
19TH STREET  ACCESS,Beach,30.34959864,-81.39646308,,
30TH AVE ACCESS,Beach,30.2652882,-81.38268598,,
ATLANTIC BLVD ACCESS,Beach,30.3247542,-81.39357816,,
BEACH BLVD ACCESS,Beach,30.28879759,-81.38766578,,
HANNA PARK,Beach,30.36983981,-81.39679814,,
HOPKINS ST ACCESS,Beach,30.30862437,-81.39134586,,
HUGUENOT PARK,Beach,30.4081105,-81.40268167,,
NORTH LITTLE TALBOT ISLAND,Beach,30.47440755,-81.41122393,,
SOUTH LITTLE TALBOT ISLAND,Beach,30.4595569,-81.41022262,,
BAYOU CHICO,Beach,30.40286745,-87.26059841,,
BAYVIEW PARK PIER,Beach,30.43224544,-87.18868043,,
BIG LAGOON STATE PARK,Beach,30.31076948,-87.41685937,,
COUNTY PARK EAST,Beach,30.34744746,-87.07354729,,
COUNTY PARK WEST,Beach,30.32482347,-87.18050344,,
NAVY POINT,Beach,30.38087246,-87.28223441,,
PENSACOLA BEACH,Beach,30.33171747,-87.14182745,,
PERDIDO KEY STATE PARK,Beach,30.29152848,-87.46478936,,
QUIET WATER BEACH,Beach,30.33472647,-87.14182745,,
SANDERS BEACH,Beach,30.40024045,-87.23682742,,
GAMBLE ROGERS STATE PARK,Beach,29.43967225,-81.10776,,
NORTH FLAGLER PIER,Beach,29.48786151,-81.13031421,,
PICKNICKERS/BEVERLY BEACH,Beach,29.51105517,-81.14170386,,
VARN PARK/BEVERLY BEACH,Beach,29.55108858,-81.16155255,,
WASHINGTON OAKS BEACH,Beach,29.6367215,-81.19892094,,
ALLIGATOR POINT,Beach,29.89964642,-84.34393729,,
CARRABELLE BEACH,Beach,29.82904907,-84.69273259,,
SAINT GEORGE ISLAND 11TH ST E,Beach,29.67123766,-84.83249731,,
SAINT GEORGE ISLAND 11TH ST W,Beach,29.64759174,-84.89313289,,
SAINT GEORGE ISLAND FRANKLIN BLVD,Beach,29.66193596,-84.86157862,,
BEACON HILL BEACH,Beach,29.91677266,-85.37984986,,
CAPE PALMS PUBLIC ACCESS,Beach,29.71971656,-85.38527397,,
DIXIE BELLE BEACH,Beach,29.85498865,-85.33930386,,
LOOKOUT BEACH,Beach,29.92472306,-85.38821043,,
ST. JOE BEACH,Beach,29.9028953,-85.36660702,,
SWEETWATER SHORES,Beach,29.68427657,-85.281413,,
PINE ISLAND BEACH,Beach,28.56865877,-82.65654079,,
BAHIA BEACH,Beach,27.7291997,-82.4764546,,
BEN T. DAVIS NORTH,Beach,27.96875199,-82.57461488,,
CYPRESS POINT PARK NORTH,Beach,27.95160265,-82.54585334,,
DAVIS ISLAND BEACH,Beach,27.90883337,-82.44743384,,
PICNIC ISLAND NORTH,Beach,27.85017251,-82.55471184,,
SIMMONS PARK BEACH,Beach,27.74792859,-82.47220907,,
COCONUT POINT SEBASTIAN INLET,Beach,27.85166013,-80.45721573,,
HUMISTON BEACH OUTFLOW,Beach,27.64943799,-80.35443756,,
ROUND ISLAND BEACH PARK,Beach,27.5613824,-80.32332639,,
SEXTON PLAZA OUTFLOW,Beach,27.65332687,-80.35554866,,
SOUTH BEACH PARK,Beach,27.63249352,-80.35193752,,
WABASSO BEACH PARK,Beach,27.76360467,-80.39693763,,
BLIND PASS/TURNER BEACH,Beach,26.48268125,-82.18349536,,
BOCA GRANDE SEA GRAPE #2,Beach,26.5423311,-81.95132425,,
BONITA BEACH PARK,Beach,26.33104763,-81.84573621,,
BOWDITCH PARK,Beach,26.46266459,-81.96723307,,
BOWMANS BEACH,Beach,26.45842303,-82.15573401,,
CAPE CORAL YACHT CLUB,Beach,26.72516061,-82.26361676,,
LITTLE HICKORY ISLAND PARK,Beach,26.35866558,-81.8593282,,
LOVERS KEY STATE PARK,Beach,26.39048232,-81.8790055,,
LYNN HALL PARK,Beach,26.45397373,-81.95775888,,
SANIBEL CAUSEWAY,Beach,26.46895444,-82.02865708,,
SOUTH SEAS PLANTATION,Beach,26.52635318,-82.1938754,,
TARPON BAY BEACH,Beach,26.42308669,-82.08011407,,
BAYFRONT PARK NORTH,Beach,27.53592939,-82.73678042,,
BRADENTON  BEACH,Beach,27.46601369,-82.69952298,,
BROADWAY BEACH ACCESS (F.K.A. WHITNEY BEACH),Beach,27.43570368,-82.69022877,,
COQUINA  BEACH NORTH,Beach,27.45604774,-82.69551903,,
COQUINA  BEACH SOUTH,Beach,27.44656284,-82.69153149,,
MANATEE PUBLIC BEACH NORTH,Beach,27.4980024,-82.71369868,,
PALMA SOLA SOUTH,Beach,27.49589808,-82.64701425,,
BATHTUB PUBLIC BEACH,Beach,27.18651619,-80.16012976,,
HOBE SOUND PUBLIC BEACH,Beach,27.06656096,-80.11525788,,
HOBE SOUND WILDLIFE REFUGE,Beach,27.08934406,-80.12647215,,
JENSEN BEACH CAUSEWAY EAST,Beach,27.25558004,-80.21117455,,
JENSEN PUBLIC BEACH,Beach,27.25578641,-80.19645765,,
ROOSEVELT BRIDGE,Beach,27.20291905,-80.25818145,,
STUART PUBLIC BEACH,Beach,27.21467855,-80.17408476,,
BAHIA HONDA BAYSIDE,Beach,24.65610672,-81.27971929,,
BAHIA HONDA OCEANSIDE,Beach,24.65582872,-81.27888629,,
BAHIA HONDA SANDSPUR,Beach,24.66388472,-81.2583303,,
FOUNDER,Beach,24.96221783,-80.56971959,,
FT ZACHARY TAYLOR STATE PARK,Beach,24.54499576,-81.80971914,,
HARRY HARRIS COUNTY PARK,Beach,25.02360662,-80.49444151,,
HIGGS BEACH,Beach,24.54666276,-81.78555314,,
JOHN PENNEKAMP STATE PARK,Beach,25.12582859,-80.40527554,,
SMATHERS BEACH,Beach,24.55221776,-81.76777515,,
SOMBRERO BEACH,Beach,24.69138471,-81.08638635,,
SOUTH BEACH,Beach,24.54693976,-81.79583014,,
AIP BEACH CLUB,Beach,30.55596459,-81.44280764,,
AMERICAN BEACH,Beach,30.57383813,-81.44364117,,
JASMINE STREET,Beach,30.65536364,-81.43278589,,
MAIN BEACH,Beach,30.66739792,-81.43068829,,
OCEAN STREET,Beach,30.68151535,-81.42883696,,
PETER'S POINT,Beach,30.59894945,-81.44275364,,
PIPER DUNES,Beach,30.54448305,-81.44126229,,
SADLER ROAD,Beach,30.63845421,-81.43611781,,
BRACKIN WAYSIDE PARK,Beach,30.39392216,-86.59166483,,
CLEMENT E. TAYLOR PARK,Beach,30.40003743,-86.51278562,,
EAST PASS,Beach,30.39116991,-86.52165829,,
EMERALD PROMENADE,Beach,30.39679944,-86.63012959,,
GARNIERS PARK,Beach,30.42954996,-86.60045872,,
GULF ISLAND NATIONAL SEASHORE,Beach,30.39653154,-86.57923269,,
HENDERSON PARK BEACH,Beach,30.38339847,-86.44920117,,
JAMES LEE PARK,Beach,30.38046456,-86.4095471,,
LINCOLN PARK,Beach,30.50883881,-86.48869553,,
LIZA JACKSON PARK,Beach,30.40581711,-86.63784697,,
MARLER PARK,Beach,30.40008136,-86.59401007,,
POQUITO PARK,Beach,30.45535822,-86.5876483,,
